Dataset,custo,limiar,qualidade,tempo,memoria,tamanho,algoritmo
u724,47737.66821352413,41910.0,1.1390519735987623,8.049518823623657,158.296875,724,chr
vm1084,260578.53461339368,239297.0,1.088933562114835,12.940207242965698,273.55078125,1084,chr
vm1748,375561.7829137932,336556.0,1.1158968579190185,48.25890636444092,630.93359375,1748,chr
a280,3846.707197088616,2579.0,1.4915499019343217,0.1543495655059814,71.26171875,280,tat
berlin52,9977.630738979644,7542.0,1.3229422883823447,0.0223217010498046,57.19921875,52,tat
bier127,154401.6773333232,118282.0,1.3053691798694915,0.0526409149169921,59.8359375,127,tat
ch130,8007.132364365995,6110.0,1.3104962953135837,0.0644207000732421,59.87109375,130,tat
ch150,9357.652701518778,6528.0,1.433463955502264,0.0658018589019775,61.10546875,150,tat
d1291,71117.89845137793,50801.0,1.3999310732343444,1.8980679512023928,355.91796875,1291,tat
d1655,86380.41714721864,62128.0,1.3903621096320282,3.2759928703308105,576.20703125,1655,tat
d198,18445.649818222573,15780.0,1.168925843993826,0.0945193767547607,64.36328125,198,tat
d2103,125545.061278709,79952.81,1.5702395110154226,5.885104417800903,875.33203125,2103,tat
d493,43798.46021769562,35002.0,1.251313074044215,0.2352881431579589,99.20703125,493,tat
d657,64892.31603749061,48912.0,1.32671565336708,0.4389610290527344,129.51171875,657,tat
eil101,906.4906806082035,629.0,1.4411616543850614,0.0426933765411376,58.98046875,101,tat
eil51,571.798328133401,426.0,1.3422495965572794,0.0251421928405761,57.0859375,51,tat
eil76,708.3956933128952,538.0,1.3167206195406975,0.0311024188995361,57.90625,76,tat
fl1400,28726.11110217681,20127.0,1.4272425648222196,2.0302417278289795,439.671875,1400,tat
fl1577,33233.85786194775,22204.22,1.4967361097101248,2.691638708114624,532.21484375,1577,tat
fl3795,40713.896533013016,28723.29,1.4174524064970626,22.788423538208008,2758.92578125,3795,tat
fl417,16569.968749852254,11861.0,1.397012794018401,0.3330183029174804,89.89453125,417,tat
gil262,3291.495086652757,2378.0,1.3841442752955244,0.164891242980957,69.46484375,262,tat
kroA100,28161.330723806772,21282.0,1.323246439423305,0.0408906936645507,58.83984375,100,tat
kroA150,35511.65999425511,26524.0,1.3388500978078386,0.0675165653228759,61.0390625,150,tat
kroA200,41207.810389389706,29368.0,1.4031534455662529,0.16367769241333,64.45703125,200,tat
kroB100,28136.06705928796,22141.0,1.2707676735146545,0.0418775081634521,58.9609375,100,tat
kroB150,36598.940676348255,26130.0,1.4006483228606297,0.0654349327087402,61.10546875,150,tat
kroB200,39836.78315003534,29437.0,1.3532895047061635,0.108525276184082,64.6328125,200,tat
kroC100,28639.496211805817,20749.0,1.3802832045788145,0.041978120803833,59.04296875,100,tat
kroD100,27549.31869431309,21294.0,1.2937596832118476,0.0560159683227539,58.83984375,100,tat
kroE100,30523.443999128747,22068.0,1.3831540692010489,0.0383880138397216,58.95703125,100,tat
lin105,21718.742535477595,14379.0,1.510448747164448,0.0426459312438964,58.88671875,105,tat
lin318,64270.86024860837,42029.0,1.529202699293544,0.2121109962463379,75.35546875,318,tat
linhp318,64270.86024860837,41345.0,1.5545013967495072,0.2733349800109863,75.28515625,318,tat
nrw1379,78058.45887287392,56638.0,1.378199422170167,2.2844932079315186,429.24609375,1379,tat
p654,47820.63385171619,34643.0,1.380383738467113,0.3954334259033203,128.88671875,654,tat
pcb1173,79929.8463277837,56892.0,1.4049399973244692,1.482752799987793,305.71484375,1173,tat
pcb3038,196701.39452336164,137694.0,1.4285400563812631,14.875702619552612,1866.02734375,3038,tat
pcb442,71970.69995304219,50778.0,1.4173598793383393,0.3593065738677978,93.05078125,442,tat
pr1002,357308.2676936541,259045.0,1.379328949385837,1.0145888328552246,240.54296875,1002,tat
pr107,59763.84393642591,44303.0,1.3489796161981336,0.0423612594604492,58.953125,107,tat
pr124,75254.05452554455,59030.0,1.2748442237090385,0.0518035888671875,59.55859375,124,tat
pr136,146562.18331640918,96772.0,1.5145102231679533,0.0563468933105468,60.47265625,136,tat
pr144,83107.11937144195,58537.0,1.4197365661281232,0.0598928928375244,60.7421875,144,tat
pr152,87341.21882725962,73682.0,1.1853806740758883,0.0669434070587158,61.41796875,152,tat
pr226,117241.01980510296,80369.0,1.4587841058754365,0.1171388626098632,66.140625,226,tat
pr2392,536032.7956538477,378032.0,1.417956140363376,7.62626314163208,1098.48828125,2392,tat
pr264,67329.88481220792,49135.0,1.3703039546597724,0.1560988426208496,69.5546875,264,tat
pr299,66175.66217918412,48191.0,1.3731954551510472,0.1822609901428222,73.16015625,299,tat
pr439,144984.45085255598,107217.0,1.3522524492622996,0.3862969875335693,92.9765625,439,tat
pr76,141331.5665621241,108159.0,1.306701860798677,0.0302987098693847,57.76171875,76,tat
rat195,3305.875084068873,2323.0,1.4231059337360623,0.0634551048278808,63.98046875,195,tat
rat575,9442.56738295593,6773.0,1.3941484398281307,0.3181920051574707,115.26171875,575,tat
rat783,12253.525609037071,8806.0,1.3914973437471123,0.7002408504486084,173.4453125,783,tat
rat99,1699.6261457921498,1211.0,1.40348979834199,0.0382282733917236,59.0,99,tat
rd100,10171.096235911706,7910.0,1.2858528743251207,0.0429825782775878,58.83203125,100,tat
rd400,21417.063061118348,15281.0,1.4015485283108664,0.3176734447479248,88.01953125,400,tat
rl1304,383984.4497912447,252948.0,1.5180371056155602,2.1443560123443604,360.7734375,1304,tat
rl1323,390443.0259697678,270199.0,1.4450202479275194,2.172846794128418,375.2734375,1323,tat
rl1889,458770.0790588812,316536.0,1.4493456638704008,4.709287881851196,728.04296875,1889,tat
st70,860.2881065054391,675.0,1.2745008985265764,0.0393388271331787,57.61328125,70,tat
ts225,188244.34899642435,126643.0,1.4864173226820618,0.1143538951873779,66.21875,225,tat
tsp225,5404.272125242898,3919.0,1.3789926321109718,0.1386265754699707,66.32421875,225,tat
u1060,308807.39559428423,224094.0,1.3780261657799149,1.2944293022155762,262.90625,1060,tat
u1432,232523.9784582028,152970.0,1.52006261657974,2.3347556591033936,452.765625,1432,tat
u159,56947.14037317118,42080.0,1.3533065678034977,0.0505397319793701,61.6484375,159,tat
u1817,85650.69403028718,57201.0,1.4973635780893195,3.837660789489746,682.8203125,1817,tat
u2152,96262.9623405468,64253.0,1.498186268976496,6.007551193237305,902.87890625,2152,tat
u2319,367898.8925058174,234256.0,1.5704993362211317,6.399629354476929,1039.76171875,2319,tat
u574,50303.76924007089,36905.0,1.3630610822401,0.2980597019195556,113.046875,574,tat
u724,58461.5155460007,41910.0,1.3949299820090837,0.5088937282562256,159.43359375,724,tat
vm1084,321448.76775034046,239297.0,1.3433046287681851,1.2836816310882568,270.109375,1084,tat
vm1748,453208.7372629369,336556.0,1.3466072132510991,3.904784202575684,637.3203125,1748,tat
